2025-10-17_02-37-02 | Pieces: 45 | G2-0: 24 | G2-1: 3 | G2-2: 6 | G2-3: 12 | G2-4: 0
2025-10-17_02-40-20 | Pieces: 47 | G2-0: 24 | G2-1: 3 | G2-2: 6 | G2-3: 14 | G2-4: 0
2025-10-17_02-41-27 | Pieces: 48 | G2-0: 24 | G2-1: 3 | G2-2: 6 | G2-3: 15 | G2-4: 0
2025-10-17_02-43-15 | Pieces: 49 | G2-0: 24 | G2-1: 3 | G2-2: 6 | G2-3: 16 | G2-4: 0
2025-10-17_02-45-43 | Pieces: 50 | G2-0: 24 | G2-1: 3 | G2-2: 7 | G2-3: 16 | G2-4: 0
2025-10-17_02-52-31 | Pieces: 52 | G2-0: 24 | G2-1: 3 | G2-2: 7 | G2-3: 18 | G2-4: 0
2025-10-17_02-55-35 | Pieces: 53 | G2-0: 24 | G2-1: 3 | G2-2: 8 | G2-3: 18 | G2-4: 0
2025-10-17_02-57-47 | Pieces: 54 | G2-0: 24 | G2-1: 4 | G2-2: 8 | G2-3: 18 | G2-4: 0
2025-10-17_03-00-00 | Pieces: 55 | G2-0: 24 | G2-1: 5 | G2-2: 8 | G2-3: 18 | G2-4: 0
2025-10-17_03-02-57 | Pieces: 56 | G2-0: 24 | G2-1: 5 | G2-2: 8 | G2-3: 19 | G2-4: 0
2025-10-17_03-06-44 | Pieces: 57 | G2-0: 24 | G2-1: 5 | G2-2: 9 | G2-3: 19 | G2-4: 0
2025-10-17_03-09-00 | Pieces: 58 | G2-0: 24 | G2-1: 5 | G2-2: 9 | G2-3: 20 | G2-4: 0
2025-10-17_03-10-11 | Pieces: 59 | G2-0: 24 | G2-1: 5 | G2-2: 9 | G2-3: 21 | G2-4: 0
2025-10-17_03-12-14 | Pieces: 60 | G2-0: 24 | G2-1: 5 | G2-2: 10 | G2-3: 21 | G2-4: 0
2025-10-17_03-14-45 | Pieces: 61 | G2-0: 24 | G2-1: 5 | G2-2: 11 | G2-3: 21 | G2-4: 0
2025-10-17_03-17-22 | Pieces: 63 | G2-0: 24 | G2-1: 5 | G2-2: 11 | G2-3: 23 | G2-4: 0
2025-10-17_03-20-46 | Pieces: 64 | G2-0: 24 | G2-1: 5 | G2-2: 11 | G2-3: 24 | G2-4: 0
2025-10-17_03-23-46 | Pieces: 66 | G2-0: 24 | G2-1: 5 | G2-2: 12 | G2-3: 24 | G2-4: 1
2025-10-17_03-25-37 | Pieces: 66 | G2-0: 24 | G2-1: 5 | G2-2: 12 | G2-3: 24 | G2-4: 1
